id_generado;ùTienes equipo/s de Aire Acondicionado en tu hogar?;ùUtilizas algœn otro equipamiento para calefaccionar?;ùCuÿl de las siguientes opciones utilizas?;ùCuÿntos Aires Acondicionados tienes en tu hogar? [Comunes];ùCuÿntos Aires Acondicionados tienes en tu hogar? [©Inverterî];ùCuÿntos Aires Acondicionados tienes en tu hogar? [No s? de qu? tipo, pero tengo esta cantidad:];ùQu? potencia tienen tus equipos? [9.000 BTU];ùQu? potencia tienen tus equipos? [12.000 BTU];ùQu? potencia tienen tus equipos? [18.000 BTU];ùQu? potencia tienen tus equipos? [24.000 BTU];ùUsas Aire Acondicionado en Invierno?;En INVIERNO ùC½mo usas tus aires acondicionados?;Los DIAS DE SEMANA: ùCuÿntas horas al d­a usas tu/s equipo/s en INVIERNO?;ùY los FINES de semana?ùCuÿntas horas al d­a usas tu/s equipo/s los fines de semana de INVIERNO?;ùUtilizas algœn otro equipamiento para calefaccionar?;ùCuÿl de las siguientes opciones utilizas?;ùUsas Aire Acondicionado en Verano?;En VERANO ùC½mo usas tus aires acondicionados?;Los DIAS DE SEMANA: ùCuÿntas horas al d­a usas tu/s equipo/s en VERANO?;ùY los FINES de semana?ùCuÿntas horas al d­a usas tu/s equipo/s los fines de semana de VERANO?;ùEn qu? tipo de vivienda resides?;ùCuÿntos metros cuadrados construidos tiene tu hogar? (aproximadamente);ùCuÿntas personas viven habitualmente en el hogar?;ùCuÿntos aÏos hace que vives en tu domicilio actual?
3277310999;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;40m2 o menos;4;Mÿs de cinco aÏos
2365019744;SI;;;1;;;;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;3;Menos de un aÏo
4778900679;No;S­;Estufa a cuarzo, caloventilador, estufa hal½gena;;;;;;;;;;;;;;;;;;Apartamento;40m2 o menos;3;Entre uno y dos aÏos
3273480171;SI;;;2;;;1;1;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Apartamento;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3710801279;SI;;;;3;;1;;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 2 y 3 horas;No;;No;;;;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
3277321969;SI;;;2;;2;;2;4;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
6998511500;SI;;;4;1;;1;3;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Apartamento;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
8659643749;SI;;;2;;;;2;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Casa;40m2 o menos;4;Entre dos y cinco aÏos
3278920499;SI;;;1;;;1;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
3272201918;SI;;;1;1;;2;;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa radiador de aceite;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Apartamento;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
9663512403;SI;;;;1;;1;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;40m2 o menos;2;Entre uno y dos aÏos
3281431188;SI;;;;Mÿs de 4;;1;;2;2;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;entre 4 y 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;entre 4 y 5 horas;entre 3 y 4 horas;Casa;Mÿs de 120m2;7;Entre uno y dos aÏos
9412641335;SI;;;;;1;;;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;1 hora o menos;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Entre dos y cinco aÏos
3281581744;SI;;;2;;;1;1;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;No;;;;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
3284211205;SI;;;3;;;3;;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;1 hora o menos;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
8828596550;SI;;;4;;;3;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;1 hora o menos;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
4077393844;No;S­;Calefacci½n central;;;;;;;;;;;;;;;;;;Apartamento;Entre 80m2 y 120m2;3;Menos de un aÏo
6409820871;SI;;;4;;;;3;1;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 3 y 4 horas;Casa;Mÿs de 120m2;4;Mÿs de cinco aÏos
6344868751;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Entre dos y cinco aÏos
3281450943;SI;;;1;;1;;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 4 y 5 horas;Si;Estufa a supergas;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 4 y 5 horas;Casa;40m2 o menos;2;Mÿs de cinco aÏos
3287541582;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 4 y 5 horas;entre 2 y 3 horas;No;;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
3287600168;SI;;;1;;;;;1;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Acumulador de calor el?ctrico ;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3289790322;SI;;;1;;;1;;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;1 hora o menos;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
3288630698;No;S­;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Apartamento;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
3289410254;SI;;;2;;;1;;1;;No;;;;Si;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;Entre 40m2 y 80m2;1;Mÿs de cinco aÏos
7563200140;SI;;;3;;;2;3;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Gas por caÏer­a;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Casa;Mÿs de 120m2;5;Entre dos y cinco aÏos
3292440886;No;No;;;;;;;;;;;;;;;;;;;Casa;40m2 o menos;6;Mÿs de cinco aÏos
3292440886;No;No;;;;;;;;;;;;;;;;;;;Casa;40m2 o menos;6;Mÿs de cinco aÏos
3293101992;SI;;;1;1;;1;;1;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;mas de 5 horas;Apartamento;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
3292030275;SI;;;;1;;1;;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;2;Entre uno y dos aÏos
3294581505;SI;;;4;;;2;2;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Mÿs de 120m2;3;Mÿs de cinco aÏos
8058010711;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;2;Menos de un aÏo
3292090529;SI;;;;1;;1;;;;No;;;;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
3299401982;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;5;Mÿs de cinco aÏos
6573640334;No;S­;Estufa a supergas;;;;;;;;;;;;;;;;;;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
3296960537;SI;;;;4;;;4;;;No;;;;Si;Cable radiante el?ctrico;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Apartamento;Mÿs de 120m2;2;Mÿs de cinco aÏos
5454144727;SI;;;;3;;2;;1;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;1;Entre uno y dos aÏos
3298990118;SI;;;2;;;;2;3;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
9400470778;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;No;;No;;;;Apartamento;40m2 o menos;2;Entre dos y cinco aÏos
521530059;SI;;;;1;;1;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
3300741585;SI;;;1;;;;1;;;No;;;;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;40m2 o menos;4;Mÿs de cinco aÏos
3302811693;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 80m2 y 120m2;2;Entre uno y dos aÏos
3309010513;SI;;;1;1;;;1;;1;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;entre 4 y 5 horas;entre 4 y 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3302050671;SI;;;2;;;;2;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3309470876;SI;;;1;;1;1;;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;Si;Estufa a supergas;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
2429700804;SI;;;;1;;;1;;;No;;;;Si;;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;2;Menos de un aÏo
6583281375;SI;;;;;3;;3;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;No;;;;Casa;Mÿs de 120m2;4;Entre dos y cinco aÏos
3306521696;SI;;;3;;;1;1;1;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
3304860205;SI;;;1;1;;1;1;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
8216941056;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;3;Entre dos y cinco aÏos
3307061530;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;1 hora o menos;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;1 hora o menos;Apartamento;40m2 o menos;2;Entre dos y cinco aÏos
5363260462;SI;;;2;1;;2;;1;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 3 y 4 horas;No;;No;;;;Apartamento;Entre 40m2 y 80m2;2;Menos de un aÏo
3306461021;SI;;;3;;;2;1;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
8777610223;SI;;;1;;;;1;;;No;;;;Si;Estufa a supergas, Radiador;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 40m2 y 80m2;2;Entre dos y cinco aÏos
3309140521;SI;;;Mÿs de 4;1;;3;1;;3;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Casa;Mÿs de 120m2;5;Mÿs de cinco aÏos
4212655251;SI;;;2;;;2;;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 4 y 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Apartamento;Entre 40m2 y 80m2;2;Entre dos y cinco aÏos
4932639305;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
3325699846;SI;;;3;;;2;1;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;1 hora o menos;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
3310240676;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;Entre 40m2 y 80m2;1;Entre uno y dos aÏos
3311901219;SI;;;4;;;;4;;;No;;;;Si;Calefacci½n central;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Apartamento;Mÿs de 120m2;4;Entre dos y cinco aÏos
5409319350;SI;;;;4;;;4;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;entre 3 y 4 horas;entre 3 y 4 horas;Si;Cable radiante el?ctrico;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Apartamento;Entre 80m2 y 120m2;3;Entre dos y cinco aÏos
3195101614;No;No;;;;;;;;;;;;;;;;;;;Casa;Mÿs de 120m2;2;Entre uno y dos aÏos
8969075092;SI;;;2;;;2;;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;1 hora o menos;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 40m2 y 80m2;3;Entre dos y cinco aÏos
3314230175;SI;;;;;2;2;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
3314551597;SI;;;2;;;1;1;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
926418637;SI;;;2;1;;1;2;2;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 2 y 3 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
450310558;SI;;;1;1;;1;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Si;Estufa a supergas;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
3315700934;SI;;;1;;;1;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
3315901889;SI;;;;;3;1;2;;;No;;;;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
3316610927;SI;;;1;;;;1;;;No;;;;Si;Radiador ;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Casa;40m2 o menos;4;Entre dos y cinco aÏos
4329061534;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;1 hora o menos;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 80m2 y 120m2;1;Entre dos y cinco aÏos
3316240692;No;S­;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
6929597490;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;40m2 o menos;1;Entre uno y dos aÏos
1595031652;SI;;;;;Mÿs de 4;4;;;1;No;;;;Si;Calefacci½n central;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Mÿs de 120m2;2;Mÿs de cinco aÏos
3318061018;No;S­;Radiador aceite;;;;;;;;;;;;;;;;;;Apartamento;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
709258883;No;S­;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Casa;40m2 o menos;5;Mÿs de cinco aÏos
3319521432;SI;;;Mÿs de 4;;;2;4;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 4 y 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
3320141185;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Mÿs de 120m2;3;Mÿs de cinco aÏos
3321840031;SI;;;2;;;2;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;40m2 o menos;4;Entre dos y cinco aÏos
3321641800;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Si;Estufa a supergas, Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3323031055;No;S­;Estufa a cuarzo, caloventilador, estufa hal½gena;;;;;;;;;;;;;;;;;;Apartamento;40m2 o menos;1;Entre dos y cinco aÏos
3329040457;SI;;;1;;;;;1;;Si;Lo enciendo solamente cuando siento frio;entre 4 y 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
3920600427;SI;;;1;1;;;;1;1;No;;;;Si;Calefacci½n central;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;entre 2 y 3 horas;Apartamento;Entre 80m2 y 120m2;2;Entre dos y cinco aÏos
3323190718;No;No;;;;;;;;;;;;;;;;;;;Casa;40m2 o menos;4;Mÿs de cinco aÏos
3323401340;SI;;;;;;3;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 4 y 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Mÿs de 120m2;2;Mÿs de cinco aÏos
3324011635;SI;;;;1;;;;1;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
6657140675;SI;;;2;;;1;1;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;entre 4 y 5 horas;entre 4 y 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 4 y 5 horas;Casa;40m2 o menos;2;Entre dos y cinco aÏos
3324271430;SI;;;;1;;1;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;2;Entre dos y cinco aÏos
3324941206;SI;;;2;;;2;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;5;Mÿs de cinco aÏos
3325040679;No;S­;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, caloventilador, estufa hal½gena;;;;;;;;;;;;;;;;;;Casa;Entre 80m2 y 120m2;1;Mÿs de cinco aÏos
3328400765;SI;;;;;2;2;;;;No;;;;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
3978901114;SI;;;1;1;;;1;;1;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;1 hora o menos;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 80m2 y 120m2;2;Entre dos y cinco aÏos
3440890874;SI;;;;1;;;1;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;4;Entre uno y dos aÏos
9862386092;SI;;;3;;;2;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
3325460481;SI;;;3;1;;;1;1;1;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
